 
 历史年表

　
 
　　西　元

　　大事记

　　1966年　　菲里曼·Ｊ·达依索说明了关于利用木星的解体，来改造太阳系的可能性。
　　2040年　　朝向水星发射人类史上第一艘载有人类的探查太空梭“玛丘琳·耶齐斯波罗拉”号。在伊卡路斯Ⅲ的生活试验，全部结束。月球表面都市的人口突破一千人。

　　2041年　　朝向金星发射人类史上第一艘载有人类的探查太空梭“维纳斯·耶齐斯波罗拉”号。“玛丘琳·耶齐斯波罗拉”号到达水星。确认了有大量金属资源的存在。

　　2042年　　在二〇三一年发射出的载有人类的外星探查太空梭“冒险号”的先行宇宙探测火箭，发现了在艾尔发尚达瑞星系里，有居住人类可能性极高的“青色行星”的存在。为了筹备建设宇宙空间殖民地时不可欠缺的金属资源，国联行星开发机构决定要在水星上设署资源采掘基地。同年，美国的试验型宇宙空间殖民地也完成了，并取名为“新世界”。居住人口有一千八百人。

　　2043年　　载有人类的外行星探查太空梭“冒险号”，先朝向已被发现的“青色行星”发射出第二艘宇宙探查火箭。为了计算“能让行星、卫星公平且有效地利用被埋藏起来的有用资源”，国际宇宙开发财团开始有所行动。利用运输用太空核不断地将资源采掘用的机器发射到水星上。（行星资源利用时代开始。）

　　2044年　　EU圈的宇宙空间殖民地完成。

　　2045年　　中国和印度的宇宙空间殖民地完成。合计居住在地球以外的总人口数，首次突破一万人。

　　2046年　　以日本为议长国的环太平洋联合国发表了宇宙空间殖民地的建设计划。开始建设水星的资源采掘工厂。国际宇宙开发机构的发展计划被解除。美国发表了建造一个能收容一百万人口的超大型宇宙空间殖民地的建设计划。

　　2048年　　水星的资源采掘工厂开工。

　　2050年　　地球人口超过一百亿人。各国的宇宙空间殖民地相继建造中。

　　2051年　　美国超大型宇宙空间殖民地“新普利玛斯”的第一期工程完工。第一次的移民团有五万一千一百二十人。往后，要建造的主流殖民地是可以收容一百万人口规模的超大型宇宙空间殖民地。（第二世代型宇宙空间殖民地。）

　　2052年　　在水星的卫星轨道上，利用太阳热能的大型提炼厂完成，并且同时开工。由水星输出的资源，一天的量已经超过五百公吨。国际宇宙开发财团宣布，要在二〇六〇年之前，达到日产一万公吨的目标。

　　2055年5月　　国际宇宙开发财团为了调整因资源分配而产生的对立情形，决定在日内瓦进行第一次聚会。

　　2056年　　大规模扩大水星的资源采掘工厂的工程完工。同年，宇宙开发财团宣布了金星的绿化计划。

　　2059年2月16日　　人类第一艘载有人类的外行星探查太空梭“冒险号”，回到月球轨道上。在月球表面都市为所有乘员们接风祝贺。

　　2060年　　金星绿化计划的第一群人员出发到金星。根据遗传因子操作方式，将提高了耐热耐酸性的浮游蓝藻散布在金星的大气中，以测试二氧化碳是否能变成氧气。

　　2061年2月11日　　放置在L3（※译注）的宇宙空间殖民地“新纽约”发生爆炸事件。死亡、下落不明的有六千五百人，受轻重伤的有一万三千人。

　　※译注：这样的位置称为“第三拉格朗日点”（Lagrange Point Number3)或简称为“L3”。在三体运动系统中有五个像这样的点。

　　2061年9月3日　　因放置在L2的宇宙空间殖民地科罗拉多里的能源工厂发生故障，因而发生大规模停电事故。造成参加船外实习活动的四十名高中生因生命维持装束的电源断电而导致死亡。能源工厂的负责人针对电脑所发生的多重问题，作了说明。

　　2061年11月10日　　放置在L3的宇宙空间殖民地“惠斯勒”的小型定期往返飞机发生冲撞事件。机内的乘客及空服员等合计共六十二人死亡。（“魔鬼的二〇六一年”。）

　　2063年　　宇宙开发财团决定在火星上建造人类可居住的空间。

　　2063年3月　　新加坡工业大学林博威博士的研究小组针对“看放于超高密度磁场内的元素变换之基础实验”作了相关报告。被视为“现代炼金术”而备受注目。

　　2065年　　金星的绿化计划正式展开进行。

　　2066年　　载有建设资财的运输用太空船队向火星出发。

　　2066年8月4日　　放置在L3的宇宙空间殖民地“伊斯坦堡”发生爆炸事故，死亡人数超过两百人以上。

　　2067年　　林博威博士的研究小组在地球旋转轨道上设置了元素变换试验用的大规模实验设备。

　　2067年10月21日　　北美西岸发生大地震，震源是来自加州半岛。死亡、下落不明的人数合计有一万两千人。

　　2070年　　宇宙空间殖民地的居住总人口数超过三千万人。金星表面上之常驻型有人基地完成。

　　2071年4月　　林博威博士的研究小组针对元素变换实用化的可能性这一点，宣布要在“往后十年内实现”。

　　2072年　　利用遗传因子复原技术，有可能让已经灭绝的动植物再生。

　　2072年9月6日　　在位于西伯利亚北部的天然瓦斯采掘工厂内发生大规模的爆炸事故。员工和家属合计共五千人死亡。

　　2073年　　完成人类在火星上建设的第一个常驻型有人基地。

　　2075年　　月球表面都市的居住人口超过一千万人。举行都市成立五十周年纪念典礼。月光时报登有一篇“希望能在月球表面都市上树立一个有未来性的统一自治政府”社论。

　　2076年　　金星的绿化计划，进入第二阶段。蓝藻类的散布对象也扩大到地球表面上。金星的大气组成已经看得出有变化了。

　　2077年　　国际宇宙开发财团的研究小组发表了“放置在月地引力平衡点轨道上的不安定要素之研究”。颠覆了以往月地引力平衡点是依重力而成的一个安定点之学说的内容。这对住在宇宙空间殖民地的全人类们都是一个冲击。

　　2078年7月　　放置在L5的宇宙空间殖民地“科伦坡”里的镜面反射控制系统发生故障。内部温度竟上升到摄氏五十度。

　　2079年　　在二〇四三年，从载有人类的外行星探查太空梭“冒险号”里所发射出的探查火箭所传回关于艾尔发·尚达瑞星系里“青色行星”的调查报告已收到。内容是推测那里为适合人类居住的行星。

　　2080年　　火星上的有人基地，第三次扩大施工。常住人口超过了一百人。

　　2081年　　新建设的宇宙空间殖民地的数量，首次低于前一年的数量。

　　2082年3月12日　　发生震源来自黑海南岸的大地震。死亡、下落不明的人数超过两万人。

　　2082年7月4日　　世界上第一个试验型宇宙空间殖民地“新世界”，因为已到了四十年的耐用年限，所以被封锁起来。

　　2083年　　国际宇宙开发财团首次公开承认金星的气压和氧气浓度开始下降一事。

　　2085年　　月球表面都市的人口超过一千两百万人。而要求在月球表面都市成立统一自治政府的各种活动也越来越活跃了。

　　2088年4月1日　　朝面向艾尔发·尚达瑞星系的地球轨道上发射人类第一艘载有人类的外行星宇宙探查太空梭“提达拉斯”号。尝试追求在太阳系以外的人类居住空间。

　　2089年　　在宇宙空间殖民地居住的总人口数超过四千万人。

　　2090年　　火星上的核融合发电厂完工。希望能大幅度地改善火星基地上的能源供给状况。

　　2091年9月4日　　反对在奈洛比所举行的“有关宇宙资源再分配之世界会议”的反对行动小组，在会场周边散放神经瓦斯。死亡人数超过两百五十人以上。

　　2092年4月　　以日本、澳洲以及其他临海诸国为中心的“环太平洋联合国机构”成立以二一〇〇年为目标，计划要将通货统合、关税完全废除，并让各国国民自由来往。

　　2092年6月3日　　在超大型宇宙空间殖民地“吉可普利斯”发生减压事故。有两千一百人死亡，五万人以上因氧气不足而造成脑部障碍。事故的原因是因为气压调整装置在作业时，发生了人为疏失而造成的。被称为“人类史上最严重的损害赔偿事件”。

　　2093年　　金星的二氧化碳分压急速下降。接着，大气温度也随之开始下降了。

　　2094年　　EU诸国之间，因为对于经济差距不满而发生了内乱。需要两个月的时间才能将其镇压住。

　　2095年　　在宇宙空间殖民地居住的总人口达到五千万人。

　　2095年11月　　发射人类第一艘装载有实用核融合推进机关的试验太空梭“天狼星”到地球轨道上。位置在火星的对面。

　　2096年　　为了让外行星的水资源可以活用的实验太空梭团队向地球轨道出发。

　　2097年　　金星的绿化计划，进入第三阶段。继地交类和羊齿类之后，也开始进行被子类植物的移植试验。

　　2100年　　举行月球表面都市成立七十五周年纪念典礼。关于在月球表面都市里成立统一自治政府的可能性这一点，决定由新加坡来主导。同年，环太平洋各国机构通货统合，成立了一个大经济圈。环太平洋各国机构也主动宣布了“在月球表面都市成立统一自治政府的场合，积极地表示认同。”一事。在地球方面，对统一整体的期望，呼声也提高了。

　　2101年　　进入二十二世纪。人类总人口数达到一百二十二亿。

　　2102年2月　　在二〇九六年从地球发射出的实验太空梭团队抵达木星。不断地在卫星轨道周围旋转，以便进行观测。

　　2103年　　金星的大气组成倾向安定状态。地球表面的气压约一千五百Hpa，气温约三百二十Ｋ。

　　2104年　　位于火星两极的冠状地带，因溶冰而获得水资源的工厂正式开始启用。开始建造二十四个直径三·二公里大的球体都市。

　　2106年　　美利坚合众国将加拿大合并了。“北美统一政府”成立。

　　2107年　　将装满了从木星表面取液出的三重氢气的容器投射到地球。

　　2108年　　EU各国转移到统一政体一事完成。“欧洲共同体”成立。火星的球体都市，第一期部分完工。

　　2109年　　第一次移民团出发前往火星，共计有五千两百二十人。

　　2110年　　在火星的二十四个球体都市全部完工。

　　2111年　　以沙乌地阿拉伯为中心的伊斯兰诸国集合起来，成立了“西欧亚大陆阿拉伯联合组织”。

　　2112年　　南美诸国决定加入北美统一政府。位于东欧亚大陆上的西伯利亚、中国、蒙古，都和欧亚大陆共和政府结合。因为位于北美统一政府和欧洲共同体之间，所以需要一个强而有力的政府。

　　2113年　　非洲联合国（AU）转移到统一政体一事完成。

　　2115年　　金星上的大气温度和气压降得更低了（一千三百Hpa、三百一十K）。小规模的“海”之存在被认同了。

　　2116年　　开始试着用遗传因子操作，将高耐热性、高耐酸性的珊瑚虫散布到金星的“海”里。更期待着二氧化碳能“固定”地运作。

　　2119年　　建设于金星北极地带的大型居住设施完成。可收容十二万两千人。

　　2120年7月4日　　隶属于国际宇宙开发财团的金星研究所的科学家Ｍ·罗曼博士，没有佩戴呼吸装置就降落到地表上。

　　2125年　　在月球表面都市举行“都市成立一百周年”纪念典礼。为了希望在月球表面都市上成立统一自治政府而举办了大规模的示威游行。

　　2126年　　考察在地球上成立统一政体的可能性之专题讨论将会在北京举行。

　　2130年　　第一次到金星的实验移民团队出发，总计八万一千人。

　　2138年6月3日　　与在二〇八八年发射出的载有人类的宇宙探查太空梭“提达拉斯”号的通信断绝。

　　2146年　　月球表面都市人口总人数达到两千五百万人。

　　2147年　　金星的总人口数突破一百万人。

　　2148年2月9日　　发生震源区域来自北非的大地震。

　　2149年　　以维持北非治安话由，北美统一政府兵力进驻。欧洲共同体对于“以武力进驻”一事表示强烈反对。

　　2150年　　人类总人口数突破一百三十三亿。

　　2150年8月4日　　在北非的北美统一政府军开始对欧洲共同体发动攻击。当天，欧洲共同体要求国际联合安全保障会议紧急集合。

　　2150年8月5日　　欧洲共同体开始对北美统一政府军展开“自卫战斗”。

　　2150年8月6日　　印度向欧洲共同体发表支持宣言。同一天，印度侵入喀什米尔。以旧巴基斯坦军为中心的西欧亚大陆阿拉伯联合军出面应战。

　　2150年8月10日　　战火扩大到整个西半球。环太平洋联合国和欧亚大陆共和政府同时宣告中立。

　　2150年11月3日　　在上海签订停战条约。推测因战争而死亡的人数有五亿六千万人之多。当中，直接参战死亡的有五千万人。

　　2152年　　欧洲的富裕阶级人们移民到月球表面都市的人口激增。北美统一政府的市民倾向于移居到宇宙空间都市。

　　2154年1月15日　　欧洲共同体并吞北美统一政府。“西半球合同政府”成立。

　　2154年1月31日　　西欧亚大陆阿拉伯联合国决定加入西半球合同政府。

　　2154年3月1日　　印度以民族表决的方式，决定加入欧亚大陆共和政府。

　　2155年10月1日　　环太平洋联合国和欧亚大陆共和政府合并。“欧亚大陆联合政府”成立。

　　2167年3月29日　　地球规模的统一政体树立后，西半球合同政府向欧亚大陆联合政府宣战。“第二次统和战争”爆发。

　　2170年　　设置“世界统一政府准备委员会”。总部在上海。

　　2177年　　开始进行第一次的地球人口调查。

　　2178年　　依据所整理出地球人口调查的结果看来，清楚了解到旧非洲各国的贫穷阶层人口明显地在增加当中。预计在二二五〇年，人口总数会达到一百五十亿人。

　　2180年　　火星的总人口数突破一百万人。

　　2181年9月15日　　J·E·特曼森博士在国联总会演讲，题目为“未来人口过剩的根本解决之道，除了利用木星作为原料来制作新行星以外，别无它法”。

　　2183年　　制作新行星的基础研究小组成立。J·E·特曼森博士担任组长。

　　2190年　　制作新行星的基础研究小组发表了创造计划的具体案例。

　　2192年　　开始试验在宇宙空间的元素变换系统的适用性。

　　2201年1月1日　　进入二十三世纪。国际联合解散，改为“地球政府”提出的紧急课题为有效抑制人口和确保人类的新居住区域。地球总人口数为一百三十七亿六千万人。月球表面都市的人口数为五千四百五十万人。居住在宇宙空间殖民地的有两亿五千万人。金星上有四百万人口，火星上有一百二十万人口。

　　2202年　　地球政府决定正式实行“木星解体计划”。

　　2205年5月31日　　搭载元素变换工厂的运输太空梭团队第一队，发射到地球轨道。

　　2205年　　在木星临近处开始展开放书小行星屏幕。

　　2217年4月1日　　欧亚大陆联合政府军在北太平洋上和西半球合同政府军交战。西半球合同政府军的六艘航空母舰被击沉。欧亚大陆联合政府的损害轻微。

　　2217年4月11日　　欧亚大陆联合政府军的陆上部队在北美大陆西岸登陆。以旧加州为中心的自治政府脱离西半球合同政府，宣告独立。

　　2217年5月　　在北美大陆的战况，以洛矶山脉为边界线的战线，陷入胶着状态。

　　2217年6月2日　　欧亚大陆联合政府军越过乌拉山脉开始进攻。里海沿岸各都市都自动地宣告自己是无防备都市。

　　2217年6月6日　　西半球合同政府在里海沿岸使用局地战用核武兵器。欧亚大陆联合政府依然一一应战。（“恶魔的三天”。）

　　2217年6月17日　　西半球合同政府和欧亚大陆联合政府，签订彼此之间禁用核武兵器条约。此条约即日生效。

　　2218年4月18日　　第二次统和战争“休战”推测有二十亿六千万人死亡。当中，因直接参战而死亡的有三亿人之多。此时，质疑国联抑制战争的能力的声音高涨。各地开始针对树立统一政体一事互相讨论。

　　2228年　　二四基的元素变换系统开始启动。计划将木星的大气之中的圭等元素合成后，再朝向事先已固定的凝结点打出去。创造行星阶段开始。

　　2287年5月　　新行星NO．1到达预定的质量。

　　2295年　　新行星NO．3（也就是以后的赛安行星）到达预定的质量。

　　2301年　　进入二十四世纪。举行“地球政府”成立一百周年纪念典礼。在典礼上，地球政府元首Ｋ·杰克森除了承认现任政府内部也有很多腐败的组织存在之外，更呼吁要回到创立“地球政府”初时的精神。地球总人口数为一百四十三亿两千万人。月球表面都市人口有六千两百二十万人。居住在宇宙空间殖民地的有五亿一千万人。金星上有九千七百万人口，火星上有两千零五十万人口。

　　2320年　　新行星NO．15到达预定的质量。创造行星阶段结束。

　　2322年　　创造行星阶段结束后，地球政府内部对于监视元素变换系统之后的利用方法一事，抱持对立意见的冲突情形浮上台面。

　　2323年10月29日　　巡视元素变换系统管理上，在地球政府内部持续进行的调整作业失败。来自旧西半球合同政府的人和旧欧亚大陆联合政府的人分为两派，陷入内战状态。（“大内战”爆发。）

　　2323年11月　　地球的内战波及到木星轨道上的前线基地内。为了争取元素变换系统控制权，双方阵营起了冲突。

　　2323年11月9日　　元素变换系统处在无人控制之下依然启动的状态中。因为采取紧急停止措施，而造成木星附近周围的重力场发生震动。元素变换系统在无法控制位置的情况下，坠落在木星表面上。研究小组内的组员，全员一千两百九十人的命运也一同坠毁了。

　　2323年12月　　地球政府宣布成功地镇压住内乱。

　　2324年1月22日　　旧西半球合同政府阵营的一部分势力，要求地球政府的指导阶层人员及时退出。

　　2324年1月25日　　地球政府正式拒绝退出的要求。此外，还称呼提出这个要求的那些旧西半球合同政府阵营一部分的势力为“反抗军的残党”，并明确表示出要彻底抗战到底的姿态。

　　2324年2月1日　　放置在L1的宇宙空间殖民地“草莓园”脱离轨道，并停在地球轨道上，大家清楚知道其后会坠落在地球表面上。预测坠落时刻为二三二四年二月七日上午六时二十分（GMT）。

　　2324年2月2日　　从“反抗军”、“顽强、执迷不悟的地球政府指导者，应该负起全部的责任”到“草莓园坠落轨道预测”等事件一一被发表出来。地球上发生经济恐慌。同一天，地球政府司令部发表要“全力阻止坠落情形发生。”之声明。

　　2324年2月3日　　地球政府军的宇宙舰队，开始阻止“草莓园”坠落的作战。

　　2324年2月5日　　地球政府突击“反抗军”的根据地。逮捕主谋者。

　　2324年2月6日　　地球政府军宇宙舰队，放弃将“草莓园”回复轨道一事。将作战方针转变为避免巨大质量坠落，因此决定将其炸毁成碎片。

　　2324年2月7日　　“草莓园”在非洲大陆上空冲入大气层。通过印度洋，再通过旧印度和喜马拉雅山脉，毁灭状态范围扩大到成都、西安、北京等地，达到两百五十公里宽的地域。特别是宇宙空间殖民地的基地坠落在郊外的天津市，立即死亡的人数可推测应有全人口的95%，约两亿四千万人。

　　2324年8月1日　　宣布因大内战导致的武力冲突，再加上“草莓园”坠落事件，概算所有死亡人数共有十亿两千万人。另外，因为灰尘直扑，笼罩在大气层上层，所以日照度大幅降低。往后的十年，甚至更久，都会因为日照不足而导致农作物无法生产。而包含因为这个原因饿死的人在内，直接或间接受到大内战影响的死亡人数推测会高达三十五亿两千万人。

　　2324年12月1日　　地球政府元首——P·O·马鲁可尼，因“草莓园”坠落事件被追究责任而辞职。之后由Ｌ·撒拉迪接任。

　　2401年　　进入二十五世纪。地球总人口数为一百一十亿两千万人。月球表面都市人口有九千零五十一万人。居住在宇宙空间殖民地的有八亿三千万人。金星上有七亿九千万人口，火星上有三亿一千万人口。

　　2430年　　赛安行星获得安定的地质，大气层开始进入安定阶段。

　　2450年　　赛安行星的氧气分压达到定值。

　　2460年2月1日　　第一次移民团到达赛安行星，开始殖民。

　　2462年9月15日　　赛安行星自治政府成立，并举行第一次议会选举。即日开票的结果，亚雷萨德罗·迪亚斯当选为自治政府主席。

　　2501年　　进入二十六世纪。地球总人口数为七十二亿两千万人。月球表面都市人口有一亿人。居住在宇宙空间殖民地的有三亿三千万人人。金星上有三十亿一千万人口，火星上有二十亿一千万人口。居住在新行星群上的人口合计有五十四亿五千万人。

　　2504年9月16日　　赛安行星自治政府主席亚雷萨德罗·迪亚斯过八十岁生日。赛安自治政府向地球政府发表独立宣言。除了接收赛安水资源管理局之外，水资源的管理权也归赛安自治政府所有。一万四千七百位赛安水资源管理局的职员处于被软禁的状态下。

　　2504年9月　　地球政府大统领斐雷迪里克·杰帝表明不认同赛安行星单方面自行发表的独立宣言。同时要求立即解放所有大使馆人员和赛安水资源管理局职员等被软禁的人质。赛安政府宣布公安警察改名为赛安政府警察军。地球政府国防部长科伯瑞发出了Ａ级命令，要求全军进入随时待命出动的状态。

　　2504年10月1日　　奇伊·里彼耶鲁接受了独立赛安政府警察军达尼耶鲁·杰拉大佐的来访。

　　2504年10月2日　　地球政府军的赛安留驻部队和独立赛安政府警察军之间的战斗开始。地球政府军被地球政府驻赛安大使耶里克逊说服而停止攻击。双方陷入胶着状态。午后，对于再度开战的地球政府军部队，赛安政府派出狙击兵迎战。地球政府军的赛安驻留部队司令官马可斯威鲁中将战死。由副司令官黑达森少将接任指挥作战。

　　2504年10月15日　　地球政府联邦议会临时总会决定通过地球政府军出兵赛安一案。同一天，大统领指令下达。地球政府军司令部宣布编组了赛安派遣军。

　　2504年10月16日　　赛安派遣军共三十万兵员，前往演习地汉阳行星太空领域。同一天，赛安行星那一边，独立赛安政府警察军司令官杰伯罗夫暗杀了亚雷萨德罗·迪亚斯。地球军压制了赛安政府市政厅大楼。杰伯罗夫遭逮捕。“赛安的一个月纷争”结束。

　　2504年　　地球政府军压制赛安行星军政后，所有的物质都改采配给制。市民全员都用指纹和DNA登入身份，并有义务要随时携带识别卡。

　　2504年　　黑拉伯利斯大学校长迪伯亚被地球政府军拘禁，赛安的游击队势力将他救出。

　　2505年1月　　黑拉伯利斯大学校长潜行于地底下。担任赛安武装游击队势力当中一派“深红党”的主席。

　　2505年　　赛安武装游击队和地球政府军继续发生冲突。

　　2505年9月6日　　赛安武装游击队和地球政府军在赛安行星的下水道发生了这一年的第五次冲突。赛安游击队将拥有二十艘武装快速艇的地球军打得全军覆没。地球军损伤惨重，指挥官伯利少佐受轻伤。

　　2505年9月15日　　达萨伦行星上爆发反地球暴动行动。

　　2505年9月26日　　地球军烧毁赛安行星的首都黑拉伯利斯市的西十七街区。

　　2505年9月29日　　“雷扎史密斯之战”。多拿伦多·雷扎史密斯大佐率领地球军部队在Ｍ十九号水道和武装游击队势力交战。总人数有八百八十位士兵中，包括雷扎史密斯大佐在内，共有五十九人战死，二十四人受轻重伤。相反的，游击队势力一方的损害只有十七人受伤而已。只是，地球政府军却隐匿了战败的消息，还公开发言指称游击队一方死伤惨重。

　　2505年9月30日　　赛安纯白党总书记亚鲁曼·里彼耶鲁重用原独立赛安警察军司令官杰伯罗夫为纯白党武装势力之负责人。同一天，地球政府军的赛安进驻部队司令官思狄嘉中将，向地球军最高司令部提出呈报书，要求增派进驻赛安的地球政府军士兵人数。

　　2505年10月20日　　地球政府军开始对赛安行星进行地面空爆作战。此次作战行动共出动了三十架地面攻击机。总计发射了两千四百发的铀238地中贯彻爆弹，但战果不佳。

　　2505年10月　　亚雷萨德罗·迪亚斯的孙子鲁西安·迪亚斯所搭乘的战车被杰伯罗夫击中。受伤的鲁西安·迪亚斯被赛安武装游击队势力当中的一派“深红党”党员奈德和琉霖救起。

　　2505年10月　　驻赛安地球政府军军政部逮捕了奇伊·里彼耶鲁。

　　2505年11月　　赛安宇宙港管制塔遭到赛安武装游击队势力的袭击。主要的电脑受到损害。接着，马上又再遭到地球政府军军政部的袭击。亚雷萨德罗·迪亚斯的儿子卡洛斯·迪亚斯被射杀身亡的尸体和揭发深红党罪行的文书，同时在自宅的庭院里被发现。

　　2505年11月13日　　地球政府军发生军事政变。地球政府联邦议会中的重要人物，有四百位以上遭地球政府军逮捕拘禁。地球政府军最高司令官迪林嘉元帅利用所拥有的立法、行政、司法三个权力，发表了掌握军部之宣言。并发布了及时停止宪法和公告戒严令。迪林嘉元帅同时兼任军事评议会议长和戒严司令官。

　　2505年12月　　地球，圣保罗市里反军政的势力群，树立了“反军民主联合政府”。

　　2505年12月8日　　被驻赛安地球政府军军政部拘禁的奇伊·里彼耶鲁被释放。纯白党总书记亚鲁曼·里彼耶鲁和依菩琳·斯格拉姆在聚餐中遭到鲁西安·迪亚斯的袭击，但被身边随时处在警戒状态中的纯白党保安部长达尼耶鲁·杰拉给救起。逃亡中的亚鲁曼·里彼耶鲁和依菩琳·斯格拉杜受到赛安武装游击队势力当中一派“深红党”的保护。

　　2505年12月10日　　奇伊·里彼耶鲁被释放后，马上又再被逮捕起来。同一天的二十三时，监禁奇伊·里彼耶鲁的军队鉴于遭到赛安武装游击队势力“深红党”的袭击，奇伊·里彼耶鲁亦被带走。路易·斯孟·里彼耶鲁因反叛国家罪、反军事谋议、协助逃亡者等罪名而遭到地球政府军军政部的逮捕。

　　2505年12月15日　　火星政府向地球政府发布独立宣言。

　　2505年12月17日　　金星政府向地球政府发布独立宣言。

　　2505年12月20日　　以圣保罗市为根据地的“反军民主联合政府”自行发布尊重各行星的自治权和自主权。

　　2505年12月24日　　地球政府（上海政府）偷袭圣保罗市，死亡、下落不明的人数有八十万人，受轻重伤者有一百四十万人。（“圣诞夜的屠杀”）地球政府军军政部向深红党表示希望进行会谈。

　　2505年12月28日　　纯白党总书记亚鲁曼·里彼耶鲁和地球军军政部思狄嘉中将会面。

　　2505年12月30日　　深红党针对会谈一事给予回复。

　　2506年1月13日　　地球军军政部思狄嘉中将，一到凌晨就开始展开扫荡游击队一战。动员兵力共五千两百六十名士兵。游击队应战，地球军败退。地球军的部分，战死、下落不明者有一千八百四十人，受伤者有两千七百人。游击队里战亡的有十四人。纯白党保安部长达尼耶鲁·杰拉，因有泄漏扫荡游击队作战情报之嫌疑而遭到射杀。 

　
 



 
 
 
